callsign,name,service_type,modes,rx_frequency_mhz,tx_frequency_mhz,offset_mhz,ctcss_hz,dmr_color_code,dmr_network,locator,municipality,province,autonomous_region,status,operator,notes,last_verified_at,latitude,longitude,source_name,source_url,source_record_id
ED1ZBE,,beacon,[],10368.9788,,,,,,IN73DL,Gijón,Asturias,Asturias,,URE Gijón,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.466667,-5.7,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas10000_N.php,balizas10000_N.php:ED1ZBE:10368.9788
ED4YAE,,beacon,[],10368.862,,,,,,IN70WR,Guadarrama,,Community of Madrid,,27 dBm potencia - URE Sierra de Guadarrama,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.683333,-4.116667,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas10000_N.php,balizas10000_N.php:ED4YAE:10368.8620
ED6YAE,,beacon,[],10368.913,,,,,,JM08PV,Sant Josep de sa Talaia,Illes Balears,Balearic Islands,,URE Ibiza,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,38.919667,1.295,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas10000_N.php,balizas10000_N.php:ED6YAE:10368.9130
ED3YAR,,beacon,"[""CW""]",1296.936,,,,,,JN01WU,Castellnou de Bages,Barcelona,Catalonia,,URE Bages,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,41.842967,1.84021,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas1200_N.php,balizas1200_N.php:ED3YAR:1296.9360
ED8YAJ,,beacon,[],1296.814,,,,,,IL18UM,Tegueste,Santa Cruz de Tenerife,Canary Islands,,URE La Palma,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,28.509167,-16.336944,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas1200_N.php,balizas1200_N.php:ED8YAJ:1296.8140
ED1YCA,,beacon,[],144.445,,,,,,IN73AL,Las Regueras,Asturias,Asturias,,URE Asturias,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.466667,-5.95,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:ED1YCA:144.4450
ED1ZAG,,beacon,"[""CW""]",144.404,,,,,,IN53RE,Cerceda,A Coruña,Galicia,,URE Coruña - 25W + omni,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.168675,-8.525637,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:ED1ZAG:144.4040
ED7YAD,,beacon,[],144.415,,,,,,IM76QO,Mijas,Málaga,Andalusia,,URE Málaga - 15W + 2xloop horizontal,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,36.606667,-4.595833,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:ED7YAD:144.4150
EA6VHF,,beacon,"[""CW""]",144.426,,,,,,JM09TA,Sant Antoni de Portmany,Illes Balears,Balearic Islands,,URE Ibiza - 10W + omni,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,39.0248,1.3008,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:EA6VHF:144.4260
ED8YAQ,,beacon,"[""CW""]",144.4845,,,,,,IL18UL,Santa Úrsula,Santa Cruz de Tenerife,Canary Islands,,URVAG - 10W + omni - Altitud 625 m.,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,28.397139,-16.460953,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:ED8YAQ:144.4845
ED1YCA,,beacon,[],28.226,,,,,,IN73AL,Llanera,Asturias,Asturias,,URE CT Asturias 10W - Antena: 5/8 Omni (3dBd),URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.4913,-5.942629,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas28_N.php,balizas28_N.php:ED1YCA:28.2260
ED4YAK,,beacon,"[""CW""]",28.251,,,,,,IN80FK,Coslada,,Community of Madrid,,Radio Club Henares,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.418079,-3.55335,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas28_N.php,balizas28_N.php:ED4YAK:28.2510
ED4YBA,,beacon,"[""CW""]",28.263,,,,,,IN80WC,Cuenca,Cuenca,Castile-La Mancha,,URE Cuenca 5W + vertical,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.087093,-2.120951,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas28_N.php,balizas28_N.php:ED4YBA:28.2630
ED3YBF,,beacon,[],432.405,,,,,,JN11CL,Montcada i Reixac,Barcelona,Catalonia,,Unio de Radioaficionats de Catalunya,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,41.479168,2.208333,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas432_N.php,balizas432_N.php:ED3YBF:432.4050
ED6YAE,,beacon,[],432.4255,,,,,,JM08PV,Sant Josep de sa Talaia,Illes Balears,Balearic Islands,,URE Ibiza,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,38.919667,1.295,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas432_N.php,balizas432_N.php:ED6YAE:432.4255
ED8YAJ,,beacon,[],432.415,,,,,,IL18UM,Tegueste,Santa Cruz de Tenerife,Canary Islands,,URE La Palma,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,28.509167,-16.336944,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas432_N.php,balizas432_N.php:ED8YAJ:432.4150
ED1YBR,,beacon,[],50.409,,,,,,IN52PF,Vigo,Pontevedra,Galicia,,URE Vigo,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.210556,-8.7225,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED1YBR:50.4090
ED1YCA,,beacon,[],50.445,,,,,,IN73AL,Llanera,Asturias,Asturias,,Antena: HO-Loop URE Asturias,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.491055,-5.943777,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED1YCA:50.4450
ED4YBA,,beacon,"[""CW""]",50.061,,,,,,IN80WC,Cuenca,Cuenca,Castile-La Mancha,,URE Cuenca 5W + vertical,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.087097,-2.120951,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED4YBA:50.0610
ED6YAI,,beacon,"[""CW""]",50.042,,,,,,JM19NL,Felanitx,Illes Balears,Balearic Islands,,URE Manacor 5W + omni horizontal,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,39.466667,3.116667,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED6YAI:50.0420
ED7YAD,,beacon,"[""CW""]",50.0745,,,,,,IM76QO,Mijas,Málaga,Andalusia,,URE Málaga 15W + omni horizontal,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,36.606679,-4.595839,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED7YAD:50.0745
ED8YAK,,beacon,[],50.415,,,,,,IL18SJ,Santa Úrsula,Santa Cruz de Tenerife,Canary Islands,,URE La Palma,URE listing does not state an operating mode. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,28.402778,-16.494444,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas50_N.php,balizas50_N.php:ED8YAK:50.4150
ED4YAE,,repeater,"[""FM""]",1298.5,,-28.0,,,,IN70WR,Guadarrama,,Community of Madrid,,4 W potencia - URE Sierra de Guadarrama,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.683333,-4.116667,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe1200_N.php,repe1200_N.php:ED4YAE:1298.5000
ED5YAJ,,repeater,"[""FM""]",1298.1,,-28.0,,,,IM99TQ,Serra,València,Valencian Community,,URE Valencia,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,39.690998,-0.39754,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe1200_N.php,repe1200_N.php:ED5YAJ:1298.1000
ED5ZAC,,repeater,"[""D-Star"", ""FM""]",1298.5,,-28.0,,,,JM08BU,Dénia,Alicante,Valencian Community,,RC Denia,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,38.843056,0.1075,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe1200_N.php,repe1200_N.php:ED5ZAC:1298.5000
ED1YAB,,repeater,"[""FM""]",145.725,,-0.6,77.0,,,IN82PO,Peñacerrada-Urizaharra,Álava,Basque Country,,Radio Club Rioja,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.594722,-2.685278,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1YAB:145.7250
ED1YAC,,repeater,"[""FM""]",145.75,,-0.6,77.0,,,IN92AD,Alfaro,,La Rioja,,Radio Club Rioja,Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.13098,-1.950674,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1YAC:145.7500
