callsign,name,service_type,modes,rx_frequency_mhz,tx_frequency_mhz,offset_mhz,ctcss_hz,dmr_color_code,dmr_network,locator,municipality,province,autonomous_region,status,operator,notes,last_verified_at,latitude,longitude,source_name,source_url,source_record_id
EA6VHF,,beacon,"[""CW""]",144.426,,,,,,JM09TA,Sant Antoni de Portmany,Balearic Islands,Balearic Islands,unknown,URE Ibiza - 10W + omni, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,39.0248,1.3008,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/balizas144_N.php,balizas144_N.php:EA6VHF:144.4260
EC2E,,repeater,"[""FM""]",439.35,,-7.6,,,,IN92FQ,Ibargoiti,,Navarre,unknown,URE Navarra, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.684013,-1.537099,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe432_N.php,repe432_N.php:EC2E:439.3500
ED1YAB,,repeater,"[""FM""]",145.725,,-0.6,77.0,,,IN82PO,Peñacerrada-Urizaharra,Álava,Autonomous Community of the Basque Country,unknown,Radio Club Rioja, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.594722222222,-2.6852777777778,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1YAB:145.7250
ED1YAZ,,repeater,"[""FM-N""]",145.675,,-0.6,88.5,,,IN72EU,La Pola de Gordón,León,Castile and León,unknown,URE León, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.8384238097993,-5.5895491963311725,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1YAZ:145.6750
ED1YBQ,,repeater,[],29.68,,-0.1,,,,IN70DI,Navacarros,Salamanca,Castile and León,unknown,Sierra de Bejar - La Covatilla Grupo Radiopaquete Salamanca, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,40.344797,-5.686958,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe28_N.php,repe28_N.php:ED1YBQ:29.6800
ED1ZBG,,repeater,"[""C4FM""]",145.7125,,-0.6,,,,IN62EI,Parada de Sil,Ourense,Galicia,unknown,URE Ourense, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.3497222222,-7.61,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1ZBG:145.7125
ED1ZBG_C,,repeater,"[""D-Star""]",145.6375,,-0.6,,,,IN62EI,Parada de Sil,Ourense,Galicia,unknown,URE Ourense, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.35,-7.61055555556,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED1ZBG_C:145.6375
ED1ZBJ,,repeater,"[""DMR""]",438.225,,-7.6,,1,BM,IN72FN,Valdefresno,León,Castile and León,unknown,URE León, RadioID DMR enrichment: color code and network from identity_id 654; principal source remains URE. Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.58118918049965,-5.534456330494542,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe432_N.php,repe432_N.php:ED1ZBJ:438.2250
ED2ZAB,,repeater,"[""D-Star"", ""FM""]",145.775,,-0.6,,,,IN83CH,Irun,Gipuzkoa,Autonomous Community of the Basque Country,unknown,Radioaficionados del Bidasoa, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,43.311333,-1.761667,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe144_N.php,repe144_N.php:ED2ZAB:145.7750
ED3YAI,,repeater,"[""FM""]",51.9,,-0.6,88.5,,,JN02WH,Das,Girona,Catalonia,unknown,AMIRED, Administrative areas derived from exact URE site coordinates using OpenStreetMap Nominatim.,2026-09-13,42.321111,1.8927780000000003,URE repeater and beacon listings,https://www.ure.es/appure/repetidores/repe50_N.php,repe50_N.php:ED3YAI:51.9000
